Category,1,2,3,4,5,6,7
Algae,0.00,0.00,0.00,0.00,0.00,4.41,8.77
Biogeochemistry,24.00,8.33,0.00,0.00,0.00,0.00,0.00
Climate Change,0.00,0.00,0.00,0.00,7.69,10.29,5.26
Community Ecology,48.00,0.00,0.00,0.00,0.00,0.00,0.00
Conservation,7.00,12.50,5.38,0.00,0.00,0.00,0.00
Diversity,0.00,0.00,0.00,0.00,0.00,4.41,8.77
Experimental Ecology,2.00,7.29,0.00,0.00,0.00,0.00,0.00
Estuaries,0.00,0.00,0.00,3.41,0.00,0.00,0.00
Fish,0.00,0.00,3.23,3.41,10.26,5.88,0.00
Flow,0.00,0.00,0.00,0.00,0.00,4.41,0.00
Food Webs,0.00,0.00,0.00,0.00,7.69,0.00,5.26
Hydrology,4.00,8.33,0.00,0.00,0.00,0.00,0.00
Invertebrates,0.00,0.00,10.75,19.32,5.13,19.12,0.00
Land Cover / Land Use,0.00,0.00,0.00,0.00,0.00,0.00,8.77
Lakes,0.00,0.00,9.68,0.00,0.00,0.00,0.00
Management,2.00,8.33,6.45,0.00,0.00,0.00,0.00
Molecular Ecology,0.00,4.17,0.00,0.00,0.00,0.00,0.00
Nutrients,0.00,0.00,0.00,4.55,7.69,5.88,7.02
Pollution,0.00,0.00,0.00,0.00,0.00,0.00,8.77
Sediments,0.00,0.00,0.00,4.55,0.00,0.00,0.00
Stable Isotopes,0.00,0.00,0.00,0.00,6.41,0.00,0.00
Streams/Rivers,5.00,32.29,30.11,12.50,6.41,0.00,0.00
Wetlands,0.00,0.00,5.38,5.68,0.00,0.00,0.00
