Category,Total,PhD,MSc,BSc
Algae,0,3.118503119,0,0
"Anthropogenic materials (litter, plastics, nanoparticles, pharmaceuticals)",0,0,0,6.779661017
Biogeochemistry,5.20984081,6.444906445,0,5.084745763
Biology and biology education research,0,0,4.635761589,0
Climate Change,3.039073806,3.742203742,0,5.084745763
Community Ecology,6.946454414,7.276507277,5.960264901,6.779661017
Conservation,4.052098408,3.534303534,5.298013245,5.084745763
Fish,2.894356006,0,4.635761589,0
Food Webs,4.052098408,3.95010395,3.973509934,5.084745763
Invertebrates,7.525325615,7.276507277,9.271523179,5.084745763
Lakes,3.183791606,3.118503119,3.973509934,0
Management,0,0,4.635761589,5.084745763
Nutrients,4.052098408,4.365904366,3.973509934,0
Pollution,0,0,0,6.779661017
Streams/Rivers,12.15629522,12.05821206,11.9205298,13.55932203
