Hosting SFS annual meetings at international locations.,Providing travel awards for attendees traveling internationally.,Creating initiatives to offset the carbon footprint incurred from international travel.,Proving alternative ways of attending annual meetings virtually.,Providing more webinars and online activities throughout the year that can be attended remotely.
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important
Very important,Extremely important,Very important,Very important,Important
Not important,Very important,Very important,Extremely important,Extremely important
Important,Extremely important,Very important,Very important,Very important
Not important,Extremely important,Somewhat important,Extremely important,Very important
Extremely important,Extremely important,Very important,Very important,Very important
Somewhat important,Important,Somewhat important,Somewhat important,Not important
Important,Extremely important,Extremely important,Very important,Important
Very important,Very important,Very important,Very important,Extremely important
Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
Important,Extremely important,Important,Important,Very important
Very important,Extremely important,Very important,Extremely important,Very important
Extremely important,Extremely important,Important,Extremely important,Extremely important
Extremely important,Extremely important,Very important,Extremely important,Very important
Important,Extremely important,Extremely important,Extremely important,Extremely important
Important,Extremely important,Very important,Very important,Very important
Somewhat important,Very important,Very important,Not important,Not important
Somewhat important,Extremely important,Very important,Extremely important,Extremely important
Somewhat important,NA,NA,NA,NA
Important,Very important,Somewhat important,Somewhat important,Important
Not important,Important,Very important,Important,Important
Very important,Extremely important,Extremely important,Extremely important,Extremely important
Not important,Important,Extremely important,Not important,Not important
Important,Very important,Very important,Very important,Very important
Extremely important,Extremely important,Very important,Important,Important
Important,Important,Important,Important,Somewhat important
Important,Extremely important,Extremely important,Very important,Important
Important,Somewhat important,Somewhat important,Somewhat important,Very important
Not important,Very important,Extremely important,Extremely important,Extremely important
Very important,Extremely important,Extremely important,Extremely important,Extremely important
Very important,Very important,Very important,Extremely important,Extremely important
Not important,Somewhat important,Somewhat important,Extremely important,Extremely important
Somewhat important,Extremely important,Extremely important,Important,Important
Important,Extremely important,Extremely important,Extremely important,Extremely important
Important,Extremely important,Important,Important,Important
Important,Extremely important,Very important,Extremely important,Very important
Somewhat important,Extremely important,Extremely important,Important,Important
Important,Extremely important,Somewhat important,Very important,Extremely important
Very important,Extremely important,Extremely important,Extremely important,Extremely important
Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important
Not important,Important,Important,Extremely important,Extremely important
Somewhat important,Very important,Very important,Very important,Very important
Not important,Important,Extremely important,Extremely important,Very important
Very important,Extremely important,Very important,Extremely important,Extremely important
Important,Extremely important,Extremely important,Very important,Important
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important
Not important,Very important,Not important,Somewhat important,Extremely important
Important,Extremely important,Extremely important,Extremely important,Extremely important
Not important,Not important,Important,Extremely important,Very important
Extremely important,Extremely important,Extremely important,Extremely important,Very important
Important,Important,Important,Important,Somewhat important
Very important,Extremely important,Extremely important,Extremely important,Extremely important
Not important,Extremely important,Extremely important,Important,Somewhat important
Extremely important,Extremely important,Very important,Extremely important,Extremely important
Not important,Extremely important,Important,Very important,Very important
Not important,Not important,Somewhat important,Not important,Somewhat important
Important,Extremely important,Very important,Important,Very important
Important,Very important,Very important,Extremely important,Very important
Very important,Very important,Very important,Very important,Very important
Somewhat important,Important,Important,Not important,Extremely important
Important,Extremely important,Extremely important,Extremely important,Important
Not important,Extremely important,Somewhat important,Somewhat important,Somewhat important
Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important
Extremely important,Very important,Very important,Very important,Very important
Important,Extremely important,Extremely important,Extremely important,Extremely important
Important,Extremely important,Extremely important,Extremely important,Important
Somewhat important,Extremely important,Somewhat important,Very important,Very important
Important,Important,Not important,Important,Important
Very important,Very important,Very important,Somewhat important,Important
Somewhat important,Very important,Important,Extremely important,Somewhat important
Somewhat important,Important,Very important,Important,Very important
Very important,Extremely important,Extremely important,Extremely important,Extremely important
Very important,Very important,Extremely important,Extremely important,Extremely important
Extremely important,Very important,Important,Very important,Extremely important
Somewhat important,Very important,Very important,Very important,Very important
Extremely important,Extremely important,Extremely important,Somewhat important,Important
Very important,Extremely important,Somewhat important,Extremely important,Extremely important
Important,Extremely important,Very important,Extremely important,Extremely important
Important,Extremely important,Extremely important,Very important,Very important
Somewhat important,Important,Not important,Somewhat important,Somewhat important
Important,Very important,Very important,Important,Very important
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important
Important,Important,Important,Very important,Important
Somewhat important,Very important,Very important,Important,Very important
Important,Very important,Important,Extremely important,Very important
Somewhat important,Important,Very important,Very important,Very important
Important,Extremely important,Very important,Extremely important,Very important
Important,Important,Somewhat important,Somewhat important,Somewhat important
Somewhat important,Very important,Important,Very important,Very important
Very important,Extremely important,Very important,Extremely important,Very important
Important,Extremely important,Very important,Very important,Very important
Important,Extremely important,Somewhat important,Very important,Extremely important
Important,Extremely important,Somewhat important,Extremely important,Extremely important
Extremely important,Extremely important,Extremely important,Somewhat important,Very important
Important,Very important,Important,Very important,Very important
Very important,Extremely important,Very important,Extremely important,Very important
Extremely important,Extremely important,Important,Very important,Somewhat important
Very important,Extremely important,Very important,Extremely important,Very important
Somewhat important,Very important,Important,Extremely important,Extremely important
Somewhat important,Very important,Very important,Extremely important,Very important
